"Product_Name","Product_Provider","Product_Rank","Product_Search_Count","Product_Sell_Count","Product_Value"
Product 0,Provider A,1,2,0,"2,066.45"
Product 0,Provider A,2,4,1,"6,008.53"
Product 0,Provider A,8,13,2,"2,157.69"
Product 0,Provider A,9,2,1,"2,511.86"
Product 0,Provider A,10,20,3,"5,402.13"
Product 0,Provider A,12,1,0,572.599
Product 1412,Provider B,1,74,13,"2,981.89"
Product 1412,Provider B,2,52,3,121.878
Product 1412,Provider B,3,23,2,159.184
Product 1412,Provider B,4,39,1,249.527
Product 1412,Provider B,5,82,0,653.106
Product 1412,Provider B,6,65,3,638.809
Product 1412,Provider B,7,138,4,263.217
Product 1412,Provider B,8,39,0,186.792
Product 1412,Provider B,9,64,0,522.513
Product 1412,Provider B,10,12,0,851.335
Product 1412,Provider B,11,8,0,963.25
Product 3160,Provider A,1,348,34,174.154
Product 3160,Provider A,2,47,3,60.4049
Product 3160,Provider A,3,26,3,125.827
Product 3160,Provider A,4,5,1,243.732
Product 3160,Provider A,5,2,0,"1,305.83"
Product 3164,Provider B,1,10,5,870.43
Product 3164,Provider B,2,30,1,912.011
Product 3164,Provider B,3,14,1,370.041
Product 3164,Provider B,4,10,0,"1,574.02"
Product 3164,Provider B,5,35,0,869.965
Product 3164,Provider B,6,81,0,698.661
Product 3164,Provider B,7,67,0,"1,085.02"
Product 3164,Provider B,8,134,2,239.248
Product 3164,Provider B,9,38,0,556.828
Product 3164,Provider B,10,55,2,801.484
Product 3164,Provider B,11,4,0,345.857
Product 3164,Provider B,12,8,0,"1,333.1"
Product 3292,Provider A,1,21,3,66.3398
Product 3292,Provider A,2,126,6,576.061
Product 3292,Provider A,3,22,1,387.367
Product 3292,Provider A,4,22,2,130.925
Product 3292,Provider A,5,9,0,79.1503
Product 3292,Provider A,7,1,0,141.116
Product 3532,Provider B,1,57,13,0
Product 3532,Provider B,2,5,1,471.044
Product 3532,Provider B,3,19,0,909.944
Product 3532,Provider B,4,4,1,782.26
Product 3532,Provider B,5,8,0,194.45
Product 3532,Provider B,6,30,2,539.381
Product 3532,Provider B,7,11,0,516.325
Product 3532,Provider B,8,20,0,"1,478.59"
Product 3532,Provider B,10,4,0,89.2474
Product 552,Provider A,1,4,0,554.744
Product 552,Provider A,2,52,4,63.3663
Product 552,Provider A,3,151,6,589.123
Product 552,Provider A,4,247,8,224.304
Product 552,Provider A,5,72,4,0
Product 552,Provider A,6,46,1,76.0832
Product 552,Provider A,7,22,0,"1,059.05"
Product 552,Provider A,8,5,0,352.146
Product 56,Provider A,1,43,8,229.212
Product 56,Provider A,2,157,16,60.3624
Product 56,Provider A,3,235,9,309.119
Product 56,Provider A,4,71,8,445.284
Product 56,Provider A,5,42,2,0
Product 56,Provider A,6,19,0,"1,143.36"
Product 56,Provider A,7,5,0,27.4739
Product 56,Provider A,8,1,0,438.582
Product 60,Provider A,3,10,0,69.7607
Product 60,Provider A,4,16,0,10.4734
Product 60,Provider A,5,9,0,5.20737
Product 60,Provider A,6,28,0,310.979
Product 60,Provider A,7,12,0,425.387
Product 60,Provider A,9,1,0,68.1934
Product 64,Provider A,1,56,2,377.089
Product 64,Provider A,2,113,12,175.823
Product 64,Provider A,3,51,3,176.726
Product 64,Provider A,4,22,2,72.9763
Product 64,Provider A,5,34,0,"1,429.59"
Product 64,Provider A,6,8,0,937.622
Product 64,Provider A,7,7,1,443.57
Product 64,Provider A,8,3,0,213.774
Product 64,Provider A,9,1,0,258.444
Product 68,Provider A,1,1,0,613.263
Product 68,Provider A,2,2,0,"1,142.39"
Product 68,Provider A,3,22,2,270.976
Product 68,Provider A,4,10,0,262.679
Product 68,Provider A,5,25,2,184.825
Product 68,Provider A,6,5,0,211.95
Product 68,Provider A,7,6,0,0
Product 68,Provider A,8,3,1,32.0503
Product 68,Provider A,9,2,0,25.2338
Product 68,Provider A,10,1,0,300.722
Product 72,Provider A,4,5,0,290.794
Product 72,Provider A,5,15,0,295.19
Product 72,Provider A,6,23,0,293.544
Product 72,Provider A,7,13,0,513.268
Product 72,Provider A,8,3,0,74.3285
Product 72,Provider A,9,4,0,688.952
Product 72,Provider A,10,1,0,958.881
Product 76,Provider A,4,42,0,224.261
Product 76,Provider A,5,115,5,15.2968
Product 76,Provider A,6,82,1,401.601
Product 76,Provider A,7,32,1,660.539
Product 76,Provider A,8,29,1,212.294
Product 76,Provider A,9,12,0,261.557
Product 76,Provider A,10,3,0,460.616
Product 76,Provider A,11,1,0,"1,011.94"
Product 80,Provider A,1,14,2,640.055
Product 80,Provider A,2,24,1,122.082
Product 80,Provider A,3,8,1,315.432
Product 80,Provider A,5,8,1,253.722
Product 80,Provider A,6,3,0,252.352
Product 80,Provider A,8,2,0,740.871
Product 84,Provider A,2,1,0,"1,322.42"
Product 84,Provider A,3,10,0,651.466
Product 84,Provider A,4,86,5,963.334
Product 84,Provider A,5,105,3,"2,394.8"
Product 84,Provider A,6,143,3,375.51
Product 84,Provider A,7,107,2,695.736
Product 84,Provider A,8,93,1,525.587
Product 84,Provider A,9,57,0,60.6906
Product 84,Provider A,10,29,0,826.303
Product 84,Provider A,11,5,0,417.918
Product 84,Provider A,12,3,0,"1,132.93"
Product 88,Provider A,4,8,1,250.043
Product 88,Provider A,5,18,0,98.4864
Product 88,Provider A,6,9,0,74.6593
Product 88,Provider A,7,27,1,742.239
Product 88,Provider A,8,15,0,199.603
Product 88,Provider A,10,1,0,288.034
